Price,Close,High,Low,Open,Volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,
Date,,,,,,,,,
2022-07-25,121.13999938964844,123.63999938964844,120.02999877929688,122.69999694824219,50221300,119.06441,142.32846319908535,0.0,-21.188461303710938
2022-07-28,122.27999877929688,122.83999633789062,118.08000183105469,121.56999969482422,82245500,120.06271,140.85373284007335,0.0,-18.57373046875
2022-08-18,142.3000030517578,142.77000427246094,140.3800048828125,141.32000732421875,37458700,142.02226,130.4807647616683,0.0,11.819244384765625
2022-08-22,133.22000122070312,136.32000732421875,132.85000610351562,135.72000122070312,50461500,140.87306,130.58039986979574,-2.6396026611328125,0.0
2022-08-23,133.6199951171875,134.99000549316406,132.9499969482422,133.41000366210938,36252100,139.64284,126.9433915263295,-6.676605224609375,0.0
2022-08-26,130.75,137.8300018310547,130.5,136.5500030517578,53322700,136.44832,121.76189456410938,-8.988105773925781,0.0
2022-08-30,128.72999572753906,132.07000732421875,126.8499984741211,131.25,49203000,133.983,122.09071474813474,-6.6392822265625,0.0
2022-09-02,127.51000213623047,131.3800048828125,126.38999938964844,129.5,57429800,130.23387,112.93341510445819,-14.576583862304688,0.0
2022-09-07,129.47999572753906,129.82000732421875,125.4000015258789,126.12000274658203,47900300,128.59702,114.0095670197029,0.0,15.470428466796875
2022-09-12,136.4499969482422,136.49000549316406,134.0,134.10000610351562,53826900,129.2522,113.21241773441983,0.0,23.237579345703125
2022-09-15,126.27999877929688,130.3699951171875,125.5,127.37999725341797,52887200,129.25554,120.37683276151151,-5.903167724609375,0.0
2022-09-22,117.30999755859375,118.79000091552734,116.26000213623047,117.08000183105469,55229200,123.782196,107.532692015802,-9.777305603027344,0.0
2022-09-27,114.41000366210938,118.31999969482422,113.05000305175781,117.19999694824219,60094700,118.950676,118.6729173266016,4.262916564941406,0.0
2022-10-21,119.31999969482422,119.58999633789062,114.5,114.79000091552734,55660500,114.465164,97.56826893287753,0.0,21.751731872558594
2022-10-27,110.95999908447266,114.12000274658203,109.7699966430664,113.91999816894531,129605400,116.62211,95.06720421268457,-15.892791748046875,0.0
2022-11-07,90.52999877929688,92.0999984741211,89.04000091552734,91.94999694824219,77495700,97.17888,93.74193411811527,3.2119369506835938,0.0
2022-11-11,100.79000091552734,101.19000244140625,96.66000366210938,97.87999725341797,111590500,92.20958,92.75545836153617,0.0,8.0345458984375
2022-11-15,98.94000244140625,103.79000091552734,97.33999633789062,103.20999908447266,111336300,94.16381,88.06220839949742,0.0,10.877792358398438
2022-11-18,94.13999938964844,95.98999786376953,92.4800033569336,95.94999694824219,72428200,95.926155,88.9291159445224,-5.210884094238281,0.0
2022-11-21,92.45999908447266,95.0199966430664,90.58999633789062,93.97000122070312,84330300,95.79785,94.92770289770377,2.4677047729492188,0.0
2022-12-12,90.55000305175781,90.58000183105469,87.87000274658203,89.20999908447266,61999800,91.394585,86.27858335763527,-4.27142333984375,0.0
2022-12-20,85.19000244140625,86.61000061035156,84.33000183105469,85.33000183105469,74348300,89.22943,96.62165178090032,11.431648254394531,0.0
2022-12-23,85.25,85.77999877929688,82.93000030517578,83.25,57433700,87.0588,96.94051301546384,11.690513610839844,0.0
